store_id,item_id,wm_yr_wk,sell_price
CA_4,HOBBIES_1_157,11549,11.28
CA_4,HOBBIES_1_157,11550,11.28
CA_4,HOBBIES_1_157,11551,11.28
CA_4,HOBBIES_1_157,11552,11.28
CA_4,HOBBIES_1_157,11601,11.28
CA_4,HOBBIES_1_157,11602,11.28
CA_4,HOBBIES_1_157,11603,11.28
CA_4,HOBBIES_1_157,11604,11.28
CA_4,HOBBIES_1_157,11605,11.28
CA_4,HOBBIES_1_157,11606,11.28
CA_4,HOBBIES_1_157,11607,11.28
CA_4,HOBBIES_1_157,11608,11.28
CA_4,HOBBIES_1_157,11609,11.28
CA_4,HOBBIES_1_157,11610,11.28
CA_4,HOBBIES_1_157,11611,11.28
CA_4,HOBBIES_1_190,11549,9.97
CA_4,HOBBIES_1_190,11550,9.97
CA_4,HOBBIES_1_190,11551,9.97
CA_4,HOBBIES_1_190,11552,9.97
CA_4,HOBBIES_1_190,11601,9.97
CA_4,HOBBIES_1_190,11602,9.97
CA_4,HOBBIES_1_190,11603,9.97
CA_4,HOBBIES_1_190,11604,9.97
CA_4,HOBBIES_1_190,11605,9.97
CA_4,HOBBIES_1_190,11606,9.97
CA_4,HOBBIES_1_190,11607,9.97
CA_4,HOBBIES_1_190,11608,9.97
CA_4,HOBBIES_1_190,11609,9.97
CA_4,HOBBIES_1_190,11610,9.97
CA_4,HOBBIES_1_190,11611,9.97
CA_4,HOBBIES_1_212,11549,7.47
CA_4,HOBBIES_1_212,11550,7.47
CA_4,HOBBIES_1_212,11551,7.47
CA_4,HOBBIES_1_212,11552,7.47
CA_4,HOBBIES_1_212,11601,7.47
CA_4,HOBBIES_1_212,11602,7.47
CA_4,HOBBIES_1_212,11603,7.47
CA_4,HOBBIES_1_212,11604,7.47
CA_4,HOBBIES_1_212,11605,7.47
CA_4,HOBBIES_1_212,11606,7.47
CA_4,HOBBIES_1_212,11607,7.47
CA_4,HOBBIES_1_212,11608,7.47
CA_4,HOBBIES_1_212,11609,7.47
CA_4,HOBBIES_1_212,11610,7.47
CA_4,HOBBIES_1_212,11611,7.47
CA_4,HOUSEHOLD_1_243,11549,1.97
CA_4,HOUSEHOLD_1_243,11550,1.97
CA_4,HOUSEHOLD_1_243,11551,1.97
CA_4,HOUSEHOLD_1_243,11552,1.97
CA_4,HOUSEHOLD_1_243,11601,1.97
CA_4,HOUSEHOLD_1_243,11602,1.97
